Age,Gender,Education,JobTitle,YearsOfExp,Salary
30.0,Male,Bachelor's Degree,Software Engineer,4.0,65000.0
46.0,Male,PhD,Senior Project Engineer,14.0,180000.0
44.0,Male,PhD,Data Scientist,15.0,150000.0
29.0,Female,Master's Degree,Human Resources Coordinator,3.0,49000.0
62.0,Male,PhD,Software Engineer Manager,20.0,200000.0
26.0,Male,Master's Degree,Sales Representative,3.0,45000.0
34.0,Male,Master's Degree,Data Scientist,9.0,140000.0
44.0,Male,PhD,Data Scientist,16.0,160000.0
26.0,Male,Master's Degree,Full Stack Engineer,3.0,70216.0
26.0,Female,Bachelor's Degree,Social Media Manager,3.0,55000.0
24.0,Male,Bachelor's,Data Analyst,2.0,95000.0
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0
23.0,Female,Bachelor's Degree,Senior Project Engineer,0.0,52831.0
34.0,Female,PhD,Research Director,11.0,160000.0
39.0,Male,Master's Degree,Senior HR Generalist,10.0,105000.0
28.0,Female,High School,Junior Sales Associate,1.0,30000.0
26.0,Male,Bachelor's Degree,Product Designer,2.0,55000.0
42.0,Male,PhD,Data Scientist,14.0,140000.0
35.0,Female,PhD,Research Director,11.0,160000.0
41.0,Female,Master's Degree,Director of Marketing,12.0,120000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0
27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0
60.0,Female,PhD,Software Engineer Manager,34.0,188651.0
24.0,Male,Bachelor's,Data Analyst,1.0,90000.0
25.0,Female,Bachelor's Degree,Junior Software Developer,1.0,35000.0
48.0,Male,PhD,Director of Data Science,18.0,210000.0
40.0,Female,Master's Degree,Marketing Coordinator,12.0,122000.0
30.0,Female,Master's Degree,Human Resources Coordinator,3.0,49000.0
54.0,Male,PhD,Software Engineer Manager,16.0,190000.0
43.0,Male,PhD,Content Marketing Manager,16.0,160000.0
29.0,Female,Master's Degree,Full Stack Engineer,5.0,102868.0
40.0,Female,Master's Degree,Human Resources Manager,12.0,130000.0
26.0,Male,Bachelor's,Data Analyst,3.0,130000.0
37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0
25.0,Male,Bachelor's,Data Analyst,2.0,115000.0
34.0,Male,Master's Degree,Data Analyst,8.0,100000.0
32.0,Male,Bachelor's Degree,Operations Manager,6.0,75000.0
28.0,Male,Bachelor's Degree,Junior Data Analyst,3.0,52000.0
33.0,Female,High School,Sales Executive,4.0,55000.0
36.0,Female,PhD,Research Scientist,13.0,185000.0
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0
51.0,Female,Master's Degree,Senior Project Engineer,25.0,177913.0
26.0,Male,High School,Junior Sales Associate,2.0,30000.0
56.0,Male,PhD,Software Engineer Manager,18.0,195000.0
33.0,Male,Bachelor's Degree,Junior Sales Representative,4.0,55000.0
43.0,Female,PhD,Senior Human Resources Manager,15.0,150000.0
27.0,Female,Master's Degree,Human Resources Coordinator,3.0,50000.0
26.0,Male,Bachelor's Degree,Marketing Analyst,2.0,50000.0
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
32.0,Male,Bachelor's,Software Engineer,8.0,190000.0
27.0,Female,Bachelor's Degree,Junior Software Engineer,2.0,48000.0
24.0,Female,High School,Receptionist,0.0,25000.0
44.0,Male,Master's Degree,Senior Project Engineer,11.0,170000.0
32.0,Male,Bachelor's,Software Engineer,8.0,190000.0
38.0,Female,Master's Degree,Marketing Manager,10.0,110000.0
45.0,Female,PhD,Senior UX Designer,16.0,160000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
26.0,Female,Master's Degree,Back end Developer,3.0,90000.0
26.0,Female,Bachelor's Degree,Graphic Designer,2.0,50000.0
39.0,Female,Bachelor's Degree,Financial Manager,16.0,200000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
47.0,Male,PhD,Senior Project Engineer,16.0,190000.0
27.0,Male,Bachelor's Degree,Product Designer,2.0,55000.0
31.0,Female,PhD,Research Scientist,8.0,120000.0
30.0,Female,Master's Degree,Senior Project Engineer,5.0,100867.0
50.0,Female,Master's Degree,Content Marketing Manager,18.0,180000.0
26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0
26.0,Male,Bachelor's,Data Analyst,3.0,130000.0
24.0,Male,Bachelor's,Data Analyst,1.0,90000.0
45.0,Male,PhD,Director of HR,14.0,140000.0
32.0,Female,Master's Degree,Senior Human Resources Manager,6.0,80000.0
45.0,Male,PhD,Research Director,16.0,190000.0
37.0,Male,Bachelor's Degree,Operations Manager,10.0,113000.0
50.0,Female,Master's Degree,Content Marketing Manager,19.0,190000.0
27.0,Female,Bachelor's,Product Manager,4.0,150000.0
39.0,Female,Master's Degree,Marketing Coordinator,11.0,120000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0
26.0,Male,Bachelor's,Data Analyst,3.0,130000.0
31.0,Female,Master's Degree,Financial Manager,8.0,120000.0
29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0
27.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,55000.0
27.0,Male,Bachelor's Degree,Front end Developer,2.0,70000.0
30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0
36.0,Female,PhD,Research Scientist,13.0,185000.0
31.0,Female,PhD,Data Scientist,8.0,140000.0
28.0,Male,Bachelor's Degree,Front end Developer,2.0,70000.0
36.0,Female,PhD,Marketing Manager,9.0,95000.0
31.0,Male,Bachelor's Degree,Sales Director,9.0,140000.0
33.0,Female,Bachelor's Degree,Content Marketing Manager,7.0,90000.0
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0
26.0,Male,Bachelor's Degree,Product Designer,1.0,50000.0
39.0,Female,PhD,Senior Research Scientist,13.0,145000.0
49.0,Male,PhD,Senior Project Engineer,17.0,195000.0
32.0,Female,Master's Degree,Senior Human Resources Manager,6.0,80000.0
25.0,Female,Bachelor's,Data Analyst,2.0,110000.0
41.0,Male,PhD,Data Scientist,15.0,157000.0
45.0,Male,Master's Degree,Software Engineer Manager,19.0,163780.0
29.0,Male,Bachelor's Degree,Front End Developer,3.0,70000.0
28.0,Female,PhD,Data Scientist,5.0,100000.0
35.0,Male,Bachelor's Degree,Operations Manager,8.0,90000.0
28.0,Female,Bachelor's,Software Engineer,5.0,150000.0
36.0,Female,PhD,Research Scientist,12.0,170000.0
33.0,Male,Bachelor's Degree,Operations Manager,6.0,75000.0
54.0,Male,PhD,Software Engineer Manager,17.0,195000.0
41.0,Male,Master's Degree,Senior Software Engineer,19.0,185000.0
34.0,Male,Master's Degree,Senior Data Scientist,9.0,125000.0
49.0,Male,Bachelor's Degree,Back end Developer,24.0,178284.0
43.0,Male,PhD,Senior Project Engineer,13.0,185000.0
33.0,Female,Master's Degree,Senior Project Engineer,10.0,113334.0
48.0,Male,PhD,Director of Data Science,18.0,210000.0
38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0
27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0
28.0,Female,Bachelor's,Software Engineer,5.0,160000.0
25.0,Male,High School,Sales Associate,1.0,35000.0
32.0,Male,Master's Degree,Product Manager,7.0,110000.0
44.0,Male,PhD,Data Scientist,16.0,160000.0
26.0,Female,Bachelor's Degree,Junior HR Generalist,1.0,32000.0
36.0,Female,PhD,Research Scientist,12.0,170000.0
25.0,Female,High School,Sales Executive,1.0,35000.0
33.0,Female,Master's,Product Manager,11.0,198000.0
